name,description,path,currency_base,currency_profit,digits,point,spread,trade_contract_size,volume_min,volume_max,swap_long,swap_short,margin_initial,visible
LRCUSD!,Loopring VS US Dollar,CryptoCcy\Crypto Majors!\LRCUSD!,LRC,USD,4,0.0001,0,1.0,0.01,1000.0,-41.47,-41.47,0.0,False
LTCUSD!,LiteCoin vs US Dollar,CryptoCcy\Crypto Majors!\LTCUSD!,LTC,USD,5,1e-05,0,1.0,0.01,1000.0,-9562.8,-9562.8,0.0,False
NEOUSD!,Neo vs US Dollar,CryptoCcy\Crypto Majors!\NEOUSD!,NEO,USD,2,0.01,0,1.0,0.01,1000.0,-11.9,-11.9,0.0,False
NERUSD!,NEAR Protocol vs US Dollar,CryptoCcy\Crypto Majors!\NERUSD!,NER,USD,3,0.001,0,1.0,0.01,1000.0,-41.26,-41.26,0.0,False
ONEUSD!,Harmony VS US Dollar,CryptoCcy\Crypto Majors!\ONEUSD!,ONE,USD,5,1e-05,0,1.0,0.01,1000.0,-25.45,-25.45,0.0,False
SANUSD!,The Sandbox VS US Dollar,CryptoCcy\Crypto Majors!\SANUSD!,SAN,USD,5,1e-05,0,1.0,0.01,1000.0,-69.25,-69.25,0.0,False
SHBUSD!,SHIBA INU vs US Dollar,CryptoCcy\Crypto Majors!\SHBUSD!,SHB,USD,8,1e-08,0,1.0,0.01,1000000.0,-35.34,-35.34,0.0,False
SOLUSD!,Solana vs US Dollar,CryptoCcy\Crypto Majors!\SOLUSD!,SOL,USD,2,0.01,0,1.0,0.01,1000.0,-185.29,-285.29,0.0,False
SUSUSD!,Sushi VS US Dollar,CryptoCcy\Crypto Majors!\SUSUSD!,SUS,USD,3,0.001,0,1.0,0.01,1000.0,-12.21,-12.21,0.0,False
TRXUSD!,Tron vs US Dollar,CryptoCcy\Crypto Majors!\TRXUSD!,TRX,USD,5,1e-05,0,1.0,0.01,100000.0,-32.21,-32.21,0.0,False
UNIUSD!,Uniswap vs US Dollar,CryptoCcy\Crypto Majors!\UNIUSD!,UNI,USD,4,0.0001,0,1.0,0.01,10000.0,-111.13,-111.13,0.0,False
VECUSD!,VeChain vs US Dollar,CryptoCcy\Crypto Majors!\VECUSD!,VEC,USD,4,0.0001,0,1.0,0.01,10000.0,-42.14,-42.14,0.0,False
XLMUSD!,Lumen vs US Dollar,CryptoCcy\Crypto Majors!\XLMUSD!,XLM,USD,5,1e-05,0,1.0,10.0,100000.0,-35.85,-35.85,0.0,False
XMRUSD!,Monero vs US Dollar,CryptoCcy\Crypto Majors!\XMRUSD!,XMR,USD,3,0.001,0,1.0,0.01,1000.0,-170.21,-170.21,0.0,False
XRPUSD!,Ripple vs US Dollar,CryptoCcy\Crypto Majors!\XRPUSD!,XRP,USD,5,1e-05,0,1.0,0.01,100000.0,-205.36,-205.36,0.0,False
XTZUSD!,Tezos VS US Dollar,CryptoCcy\Crypto Majors!\XTZUSD!,XTZ,USD,3,0.001,0,1.0,0.01,1000.0,-10.9,-10.9,0.0,False
ZECUSD!,Zcash vs US Dollar,CryptoCcy\Crypto Majors!\ZECUSD!,ZEC,USD,3,0.001,3000,1.0,0.01,1000.0,-60.05,-60.05,0.0,False
